Sp	C1	C2	C3	C5	C8
Pelophylax_lesso	0	0	1	0	0
Pelophylax_perez	NA	NA	NA	NA	NA
Pelophylax_sahar	NA	NA	NA	NA	NA
Pelophylax_nigro	0	0	1	0	0
Rana_arvalis	1	0	0	0	0
Rana_temporaria	1	0	0	0	0
Rana_iberica	0	0	1	0	0
Rana_italica	1	0	0	0	0
Rana_dalmatina	0	0	0	1	0
Rana_macrocnemis	NA	NA	NA	NA	NA
Rana_latastei	NA	NA	NA	NA	NA	
Rana_chensinensi	NA	NA	NA	NA	NA
Rana_kukunoris	0	0	0	1	0
Rana_ornativentr	NA	NA	NA	NA	NA
Rana_dybowskii	NA	NA	NA	NA	NA
Rana_japonica	1	0	0	0	0
Rana_berlandieri	1	0	0	0	0
Rana_blairi	0	1	0	0	0	
Rana_yavapaiensi	NA	NA	NA	NA	NA
Rana_sphenocepha	1	0	0	0	0
Rana_chiricahuen	NA	NA	NA	NA	NA
Rana_montezumae		1	0	0	0	0
Rana_pipiens	0	0.5	0	0.5	0
Rana_tarahumarae	NA	NA	NA	NA	NA	
Rana_catesbeiana	0	0	0	1	0
Rana_clamitans	1	0	0	0	0
Rugosa_rugosa	0	0	0	0	1
